ID,Text,Comment
Good.FloodingWater.DisplayName,Te veel water,
Good.FloodingBadwater.DisplayName,Te veel slechtwater,
Cadre.Group.AquaPiles.Lone,Aqua Palen,
Cadre.Group.AquaTanks.Lone,Aqua Vaten,
Cadre.Group.AquaWarehouses.Lone,Aqua Pakhuizen,
Cadre.Ladder.Log.Lone,Boomstam Ladder,
Cadre.Ladder.Log.Purpose,Boomstam waar de bevers aan knaagden om het beklimbaar te maken,
Cadre.Ladder.Log.RandoQuote,Natuurlijk hebben ze het daarna in de rivier gewassen,
Cadre.Gyser.Lone,Geiser,
Cadre.Gyser.Purpose,Gefilterd water uit de diepe ondergrond,
Cadre.Gyser.RandoQuote,Is een beetje...vluchtig,
Cadre.BadGyser.Lone,Slechte Geiser,
Cadre.BadGyser.Purpose,Ongefilterd water uit de ondergrond,
Cadre.BadGyser.RandoQuote,Het is een beetje... misselijkmakend,
Cadre.FloodMaker.Lone,Overstromingsmaker,
Cadre.FloodMaker.Purpose,Aangedreven vloeistof dumpen,
Cadre.FloodMaker.RandoQuote,Betrouwbare overstromingen van je lokale mech :D,
Cadre.SmallAquaPile.Lone,Kleine Aqua Stapel,
Cadre.SmallAquaPile.Purpose,Kleine stapel die onder water kan worden geplaatst,
Cadre.SmallAquaPile.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.MediumAquaPile.Lone,Middelgrote Aqua Stapel,
Cadre.MediumAquaPile.Purpose,Middelgrote stapel die onder water kan worden geplaatst,
Cadre.MediumAquaPile.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.BuriedAquaPile.Lone,Begraven Aqua Stapel,
Cadre.BuriedAquaPile.Purpose,Diepere ondergrondse stapel die onder water kan worden geplaatst,
Cadre.BuriedAquaPile.RandoQuote,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.SmallAquaTank.Lone,Klein Aqua Vat,
Cadre.SmallAquaTank.Purpose,Klein vat dat onder water geplaatst kan worden,
Cadre.SmallAquaTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.MediumAquaTank.Lone,Middelgroot Aqua Vat,
Cadre.MediumAquaTank.Purpose,Medium vat dat onder water geplaatst kan worden,
Cadre.MediumAquaTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.LargeAquaTank.Lone,Groot Aqua Vat,
Cadre.LargeAquaTank.Purpose,Groot vat dat onder water geplaatst kan worden,
Cadre.LargeAquaTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.SmallAquaWarehouse.Lone,Klein Aqua Pakhuis,
Cadre.SmallAquaWarehouse.Purpose,Klein pakhuis dat onder water geplaatst kan worden,
Cadre.SmallAquaWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.MediumAquaWarehouse.Lone,Middelgroot Aqua Warehouse,
Cadre.MediumAquaWarehouse.Purpose,Middelgroot pakhuis dat onder water geplaatst kan worden,
Cadre.MediumAquaWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.LargeAquaWarehouse.Lone,Groot Aqua Pakhuis,
Cadre.LargeAquaWarehouse.Purpose,Groot pakhuis dat onder water geplaatst kan worden,
Cadre.LargeAquaWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.AquaNumberCruncher.Lone,Aqua Number Cruncher (NIET BOUWEN - CRASHES SPEL),
Cadre.AquaNumberCruncher.Purpose,Number Cruncher die beter onder water kan werken,
Cadre.AquaNumberCruncher.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.AquaWaterWheel.Lone,Aqua Water Wheel (NIET BOUWEN - CRASHES SPEL),
Cadre.AquaWaterWheel.Purpose,Waterrad dat onder water geplaatst kan worden,
Cadre.AquaWaterWheel.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
Cadre.AquaCompactWaterWheel.Lone,Aqua Compact Waterrad (NIET BOUWEN - CRASHES SPEL),
Cadre.AquaCompactWaterWheel.Purpose,Compact Waterrad dat onder CompactWater geplaatst kan worden,
Cadre.AquaCompactWaterWheel.FlavourDescription,Resultaat van het vredesverdrag tussen de Volkstaarten en de IJzertanden,
