ID,Text,Comment
Faction.LeafCoats.DisplayName,Bladjassen,
Faction.LeafCoats.Description,"De Bladjassen hebben affiniteit met bomen en planten in het algemeen. Ze bouwen graag op een manier die de natuur nabootst, inclusief een uitgestrekte structuur die op een gigantische boom lijkt.
Hun motto: <i>De weg van de boom.</i>",
Bot.DisplayName.LeafCoats,Boombot {0},Bot name
Building.DistrictCenter.FlavorDescription.LeafCoats,"""De weg van de boom."" —Bladjassen motto",
Building.Levee.Curved.DisplayName,Gebogen dijk,
Building.HousingUnit.Small.LeafCoats.DisplayName,Kleine wooneenheid,
Building.HousingUnit.Small.LeafCoats.FlavorDescription,Het is beter dan op de grond slapen.,
Building.HousingUnit.Medium.LeafCoats.DisplayName,Middelgrote wooneenheid,
Building.HousingUnit.Medium.LeafCoats.FlavorDescription,Een starterswoning.,
Building.HousingUnit.LeafCoats.DisplayName,Wooneenheid,
Building.HousingUnit.LeafCoats.Description,Een wooneenheid in de vorm van een stuk boomstam,
Building.HousingUnit.LeafCoats.FlavorDescription,De lucht is de limiet!,
Building.HousingUnit.Double.LeafCoats.DisplayName,Dubbele wooneenheid,
Building.HousingUnit.Double.LeafCoats.Description,Het is alsof ze met z'n tweeën op elkaar liggen.,
Building.HousingUnit.Double.LeafCoats.FlavorDescription,Groter! Hoger!,
Building.MediumPile.DisplayName,Middelgrote stapel,
Building.Path2.LeafCoats.DisplayName,Pad met leuningen,
Building.Path2.LeafCoats.Description,Deze versie van het pad heeft altijd leuningen.,
Building.Path3.LeafCoats.DisplayName,Padleuningen,
Building.Path3.LeafCoats.Description,Deze versie van het pad heeft alleen leuningen.,
Building.Path4.LeafCoats.DisplayName,Pad met haag,
Building.Path4.LeafCoats.Description,Deze versie van het pad had een hegrand.,
Building.Path5.LeafCoats.DisplayName,Haagpad,
Building.Path5.LeafCoats.Description,Deze versie van pad is slechts een hegrand.,
Building.Floodgate.Flat.DisplayName,Platte sluisdeur,
Building.DoubleFloodgate.Flat.DisplayName,Dubbele sluisdeur met platte bovenkant,
Building.TripleFloodgate.Flat.DisplayName,Drievoudige sluisdeur met platte bovenkant,
Building.Floodgate.Flat.Description,"Blokkeert water tot een instelbare hoogte. Een nieuw, compacter ontwerp waar je er bovenop kunt bouwen.",
Building.Branch.DisplayName,Tak,
Building.Branch.Description,Een tak. Het kan worden aangesloten op de zijkant van veel gebouwen in boomstijl. Sommige gebouwen willen verbinding maken met vestigingen in plaats van met paden.,
Building.Branch.Bridge.DisplayName,Takbrug,
Building.TreeTrunk.Side.DisplayName,Boomstam zijblok,
Building.TreeTrunk.Corner.DisplayName,Boomstam hoekblok,
Building.TreeTrunk.Description,Een decoratief blok om gaten in de boomstructuur op te vullen,
Building.TreeTrunk.Branch.DisplayName,Boomstamzijblok met toegang tot takken,
Building.TreeTrunk.Branch.Description,Een boomstamzijblok met een deur aan de ene kant en een aftakking aan de andere kant. Hierdoor kunnen bevers tussen paden (of de centrale toegangsschacht van de boom) en een tak passeren.,
Building.Grinder.DisplayName,Slijper,
Building.Grinder.Description,Maalt schroot tot metalen blokken.,
Building.DirtExcavator.FlavorDescription.LeafCoats,De meest agressieve boomwortel,
Building.PowerDam.DisplayName,Machtsdam,
Building.PowerDam.Description,"Een dam met een ingebouwd waterrad om stroom op te wekken.
Aandrijfas-aansluitingen bevinden zich alleen aan de zijkanten tegengesteld aan de verwachte waterstroomrichting.",
Building.PowerLevee.DisplayName,Energie dijk,
Building.PowerLevee.Description,Een dijk met een interne aandrijfas,
Building.VerticalPowerShaftTunnel.DisplayName,Verticale aandrijfastunnel,
Building.LeveeTunnel.DisplayName,Dijktunnel,
Building.PowerLeveeTunnel.DisplayName,Energie dijk tunnel,
Building.TunnelOther.Description,Tunnelt door terrein en vervangt het door een ander gebouw. Gebruik het lagengereedschap om onder terrein of structuren te kijken.,
Building.PowerTreadmill.DisplayName,Krachtig loopband,
Building.Garden.DisplayName,Tuin,
Building.ObservationTerrace.DisplayName,Observatieterras,
Building.Plaza.DisplayName,Plein,
Building.PruningFlag.DisplayName,Snoei post,
Building.DiggerFlag.DisplayName,Graaf post,
Building.DiggerFlag.Description,Verzamelt vuil van los vuil.,
Building.DiggerFlag.FlavorDescription,Brengt het vuil niet in potten,
Building.LooseDirt.DisplayName,Los vuil,
